,Unnamed: 0,imDbId,title,fullTitle,year,items,sentiment_score,neg,neu,pos,compound
0,6,tt1877830,The Batman,The Batman (2022),2022,"{'publisher': 'Slant Magazine', 'author': 'Jake Cole', 'link': '', 'rate': '75', 'content': 'The film stands apart for thoughtfully suggesting that Batman might actually one day make Gotham a better place, and not merely a safer one'}",0.51,0.061,0.791,0.148,0.5053
1,2,tt1877830,The Batman,The Batman (2022),2022,"{'publisher': 'TheWrap', 'author': 'Todd Gilchrist', 'link': 'https://www.thewrap.com/the-batman-review-robert-pattinson-zoe-kravitz/', 'rate': '88', 'content': 'With Pattinson glowering beneath his cowl, Reeves creates a Batman whose psychology is at least as interesting as his crime-fighting activities, for the first time in a long time.'}",0.59,0.0,0.879,0.121,0.5859
2,14,tt9032400,Eternals,Eternals (2021),2021,"{'publisher': 'Slashfilm', 'author': 'Hoai-Tran Bui', 'link': 'https://www.slashfilm.com/641297/eternals-review-a-wildly-ambitious-but-tonally-uneven-cosmic-epic/', 'rate': '65', 'content': ""With Eternals, Marvel turns a risky gamble into another piece of the puzzle. Its cosmic ambitions, its prevailing humanism amid a nihilistic outlook, and its gestures at maturity — the (real!) sex scene, the depth and warmth that they give to Henry's LGBTQ relationship — are not enough to make Eternals more than just another film to fit neatly in the Marvel Studios mold. But even so, Zhao brings an elegance to the film and the cast bring a vulnerability and care to their characters that leave a lingering impression, even as the last super-punch fades.""}",0.94,0.044,0.778,0.178,0.9359
3,17,tt9032400,Eternals,Eternals (2021),2021,"{'publisher': 'BBC', 'author': 'Nicholas Barber', 'link': 'https://www.bbc.com/culture/article/20211024-three-stars-for-chlo-zhaos-disappointing-eternals', 'rate': '60', 'content': ""Eternals is more serious in tone and more deliberate in its pacing than the average Marvel movie, with less of the usual banter and no cameo appearances by other superheroes. But, if you're looking for the humanity and originality of Zhao's other films, you won't find much of it here.""}",0.0,0.047,0.922,0.031,0.0009
4,41,tt11214590,House of Gucci,House of Gucci (2021),2021,"{'publisher': 'Variety', 'author': 'Owen Gleiberman', 'link': 'https://variety.com/2021/film/reviews/house-of-gucci-review-lady-gaga-adam-driver-al-pacino-jared-leto-ridley-scott-1235112936/', 'rate': '80', 'content': 'House of Gucci is an icepick docudrama that has a great deal of fun with its grand roster of ambitious scoundrels, but it’s never less than a straight-faced and nimbly accomplished movie.'}",0.89,0.0,0.735,0.265,0.891
5,49,tt11214590,House of Gucci,House of Gucci (2021),2021,"{'publisher': 'The Film Stage', 'author': 'Matt Cipolla', 'link': '', 'rate': '50', 'content': 'Despite the reasons House of Gucci doesn’t work, none are damning enough to make a bad movie. It’s forgettable, sometimes playing like the sort of cable-TV fare that displaced these tales from the silver screen over the past decade. Yet Scott’s efforts, and especially those of Johnson and Bentivegna, just don’t keep up. And what’s the point of going big if you’re not going to go for it all?'}",0.21,0.041,0.885,0.074,0.211
6,63,tt3581652,West Side Story,West Side Story (2021),2021,"{'publisher': 'Slashfilm', 'author': 'Chris Evangelista', 'link': 'https://www.slashfilm.com/674685/west-side-story-review-steven-spielbergs-big-vibrant-take-on-the-classic-musical-is-one-of-his-best-films', 'rate': '95', 'content': ""Spielberg's West Side Story is a knock-out. A dynamite blend of old-school musical showmanship and modern sensibilities. It's one of the best movies of the year, and one of the best movies of the acclaimed filmmaker's career. Yes, really.""}",0.92,0.0,0.771,0.229,0.9153
7,60,tt3581652,West Side Story,West Side Story (2021),2021,"{'publisher': 'Empire', 'author': ""Helen O'Hara"", 'link': 'https://www.empireonline.com/movies/reviews/west-side-story-2021/', 'rate': '100', 'content': 'Heartfelt and heart-breaking, this feels like Spielberg has made an adaptation faithful to its roots but also, always, alive to the modern world.'}",0.81,0.0,0.756,0.244,0.81
8,92,tt3228774,Cruella,Cruella (2021),2021,"{'publisher': 'Empire', 'author': 'Ben Travis', 'link': 'https://www.empireonline.com/movies/reviews/cruella/', 'rate': '80', 'content': 'What could have been a mere IP cash-in instead becomes an unexpectedly cinematic crime-and-couture romp, delivered with the sort of style, snarl and eccentricity that Cruella herself would likely applaud. She makes being bad look very good.'}",-0.13,0.069,0.871,0.059,-0.128
9,96,tt3228774,Cruella,Cruella (2021),2021,"{'publisher': 'Entertainment Weekly', 'author': 'Leah Greenblatt', 'link': 'https://ew.com/movies/movie-reviews/cruella-movie-review/', 'rate': '67', 'content': 'Cruella comes off as a curious animal, eager to change its spots and trying a little bit of everything along the way.'}",0.77,0.0,0.787,0.213,0.765
