,user.id,create_at,text,Movie
47144,39165311,3/8/22,#TheBatman =L<�=L<�=L<�,The Batman (2022)
50307,7.40E+17,3/10/22,finally a batman that listens to nirvana,The Batman (2022)
46600,1.49E+18,3/6/22,@zakiscorner I saw the Batman last night and I Loved it.Was so dark it was cool. What a bad ass!!!,The Batman (2022)
51872,39933,3/6/22,I think Ive seen every incarnation of Batman since Adam West. Ive steadily lost interest ever since The Dark Knight Rises. I simply have zero interest in spending three hours squinting to see The Batman since it was apparently filmed through smoked glass.,The Batman (2022)
52128,7.56E+17,3/4/22,"After waiting 2 long years, Im FINALLY Watching #TheBatman #InATheater https://t.co/tpcjP2t43p",The Batman (2022)
48556,14835980,3/4/22,"Couple more thoughts:
-First time we see Batman as The Worlds Greatest Detective
-Incredible soundtrack &Michael Giacchinos instrumentals are like a young John Williams and a stirring use of Nirvanas Something In The Way starts and ends the film",The Batman (2022)
48259,2187773876,3/4/22,#TheBatman movie tonight gonna be lit =$,The Batman (2022)
47033,7214022,3/6/22,@HollyEvanMarie Because YET ANOTHER BATMAN would have been too on the nose?,The Batman (2022)
51317,1.40E+18,3/4/22,Is @ the movies watching #TheBatman,The Batman (2022)
53442,42633389,3/4/22,My 2nd screening of #TheBatmanMovie made me love the movie even more. Paul Dano is the go to actor for characters who are emotionally compromised and melt the fuck down when cornered. Just brilliant! https://t.co/T2fhlhLGiP,The Batman (2022)
51996,123607946,3/7/22,"Great speech, Bill. 

#TheBatmanMovie @BATMANONFILM @BOFShow @thebatmanonfilm @thebatmanbc @Straight_O_G https://t.co/tmyPyKq06Z",The Batman (2022)
49245,211858976,3/7/22,"in terms of batman villain clout, riddler was going ig live for like 500 followers while bane was out there performing super bowl halftime",The Batman (2022)
46449,8.85E+17,3/4/22,"@BingeWatchThis_ And lets be clear anybody talking about Batmans accidental kills in a PG13 ACTION MOVIE is an idiot. Except for my favorite Batman Affleck cuz he was really killing ppl. If you dont get the character arc he portrayed, you should stay off social media pages like this one.",The Batman (2022)
