,Unnamed: 0,user.id,create_at,text,Movie,sentiment_score,neg,neu,pos,compound
0,47144,39165311.0,3/8/22,#TheBatman =L<�=L<�=L<�,The Batman (2022),0.0,0.0,1.0,0.0,0.0
1,50307,7.4e+17,3/10/22,finally a batman that listens to nirvana,The Batman (2022),0.0,0.0,1.0,0.0,0.0
2,46600,1.49e+18,3/6/22,@zakiscorner I saw the Batman last night and I Loved it.Was so dark it was cool. What a bad ass!!!,The Batman (2022),0.72,0.134,0.499,0.367,0.7249
3,51872,39933.0,3/6/22,I think Ive seen every incarnation of Batman since Adam West. Ive steadily lost interest ever since The Dark Knight Rises. I simply have zero interest in spending three hours squinting to see The Batman since it was apparently filmed through smoked glass.,The Batman (2022),0.57,0.05,0.821,0.13,0.5719
4,52128,7.56e+17,3/4/22,"After waiting 2 long years, Im FINALLY Watching #TheBatman #InATheater https://t.co/tpcjP2t43p",The Batman (2022),0.0,0.0,1.0,0.0,0.0
5,48556,14835980.0,3/4/22,"Couple more thoughts:
-First time we see Batman as The Worlds Greatest Detective
-Incredible soundtrack &Michael Giacchinos instrumentals are like a young John Williams and a stirring use of Nirvanas Something In The Way starts and ends the film",The Batman (2022),0.77,0.0,0.839,0.161,0.7717
6,48259,2187773876.0,3/4/22,#TheBatman movie tonight gonna be lit =$,The Batman (2022),0.0,0.0,1.0,0.0,0.0
7,47033,7214022.0,3/6/22,@HollyEvanMarie Because YET ANOTHER BATMAN would have been too on the nose?,The Batman (2022),0.0,0.0,1.0,0.0,0.0
8,51317,1.4e+18,3/4/22,Is @ the movies watching #TheBatman,The Batman (2022),0.0,0.0,1.0,0.0,0.0
9,53442,42633389.0,3/4/22,My 2nd screening of #TheBatmanMovie made me love the movie even more. Paul Dano is the go to actor for characters who are emotionally compromised and melt the fuck down when cornered. Just brilliant! https://t.co/T2fhlhLGiP,The Batman (2022),0.57,0.125,0.691,0.185,0.5707
10,51996,123607946.0,3/7/22,"Great speech, Bill. 

#TheBatmanMovie @BATMANONFILM @BOFShow @thebatmanonfilm @thebatmanbc @Straight_O_G https://t.co/tmyPyKq06Z",The Batman (2022),0.62,0.0,0.687,0.313,0.6249
11,49245,211858976.0,3/7/22,"in terms of batman villain clout, riddler was going ig live for like 500 followers while bane was out there performing super bowl halftime",The Batman (2022),0.42,0.116,0.677,0.206,0.4215
12,46449,8.85e+17,3/4/22,"@BingeWatchThis_ And lets be clear anybody talking about Batmans accidental kills in a PG13 ACTION MOVIE is an idiot. Except for my favorite Batman Affleck cuz he was really killing ppl. If you dont get the character arc he portrayed, you should stay off social media pages like this one.",The Batman (2022),-0.69,0.203,0.668,0.129,-0.6901
13,54776,1184972899.0,3/5/22,"Went in with low expectations and came out really liking it. Is it my favorite Batman movie now? No. But, it is one of the better interpretations. Also, we get to see Batman be a detective. Which is cool since hes supposed to be the world greatest detective. #TheBatman",The Batman (2022),0.94,0.052,0.675,0.273,0.9376
14,45041,572593566.0,3/4/22,"Got the wife and I premiere night tickets for #TheBatman and didnt take into account its 3 whole hours long. LOVE a long movie, but not at 8pm on a Thursday =",The Batman (2022),0.45,0.0,0.901,0.099,0.4527
15,53092,1.45e+18,3/4/22,Is @ the movies watching #TheBatman,The Batman (2022),0.0,0.0,1.0,0.0,0.0
16,49953,19799464.0,3/4/22,@DyliriousT Just saw #TheBatman so... Pretty pretty good.,The Batman (2022),0.85,0.0,0.35,0.65,0.8519
17,49301,1.43e+18,3/7/22,I could definitely watch The Batman again movie was so good !!!,The Batman (2022),0.81,0.0,0.552,0.448,0.8083
18,48438,15963078.0,3/8/22,"I got a Batman NFT, someone wanna buy for $1,393,926,726,094.69?",The Batman (2022),0.0,0.0,1.0,0.0,0.0
19,45630,1.22e+18,3/5/22,"#TheBatman is the most entertaining and epic Batman movie to see!
Robert Pattinson makes a remarkable performance as Batman; the casting is incredible; the action sequences are outstanding; Matt Reeves makes a great director; and more makes a movie very entertaining!
(10 / 10) https://t.co/QkAGz5heij",The Batman (2022),0.96,0.0,0.658,0.342,0.9621
20,49701,36935456.0,3/6/22,if i wanna watch the new #batmanmovie i will watch it from the comfort of my own home with the BS of rising prices everywhere #batman https://t.co/AynRqnyQ7L,The Batman (2022),0.36,0.0,0.906,0.094,0.3612
21,54866,1.07e+18,3/6/22,The Batman: Mayne Spoiler Review https://t.co/40jx7tDAKc via @YouTube please come #batmanmovie,The Batman (2022),0.32,0.0,0.813,0.187,0.3182
22,52090,9598912.0,3/9/22,My favorite part of The Batman (2022) is that Catwoman takes cabs everywhere despite being past due on all her bills. Iconic behavior.,The Batman (2022),0.46,0.0,0.88,0.12,0.4588
23,51839,477926650.0,3/6/22,Dinner Before seeing Batman >d https://t.co/KVjajVi7RY,The Batman (2022),0.0,0.0,1.0,0.0,0.0
24,51958,898444938.0,3/7/22,@robertpatrickT2 @MichaelKeaton He is coming back to be THE Batman soon,The Batman (2022),0.0,0.0,1.0,0.0,0.0
